fecha_id,esclusa_id,transitos,tonelaje,fuente
201904,2,246,16332555,estimado
201905,2,242,16066985,estimado
201906,2,237,15735022,estimado
201907,2,237,15735022,estimado
201908,2,239,15867808,estimado
201909,2,239,15867808,estimado
201910,2,246,16332555,estimado
201911,2,243,16133378,estimado
201912,2,243,16133378,estimado
202001,2,251,16664518,estimado
202002,2,248,16465340,estimado
202003,2,253,16797302,estimado
202004,2,251,16664518,estimado
202005,2,246,16332555,estimado
202006,2,241,16000592,estimado
202007,2,241,16000592,estimado
202008,2,243,16133378,estimado
202009,2,243,16133378,estimado
202010,2,255,16930088,estimado
202011,2,252,16730910,estimado
202012,2,252,16730910,estimado
202101,2,260,17262050,estimado
202102,2,258,17129265,estimado
202103,2,263,17461228,estimado
202104,2,260,17262050,estimado
202105,2,255,16930088,estimado
202106,2,250,16598125,estimado
202107,2,250,16598125,estimado
202108,2,252,16730910,estimado
202109,2,252,16730910,estimado
202110,2,284,18855470,estimado
202111,2,281,18656292,estimado
202112,2,281,18656292,estimado
202201,2,290,19253825,estimado
202202,2,287,19054648,estimado
202203,2,293,19453002,estimado
202204,2,290,19253825,estimado
202205,2,284,18855470,estimado
202206,2,278,18457115,estimado
202207,2,278,18457115,estimado
202208,2,281,18656292,estimado
202209,2,281,18656292,estimado
202210,2,302,20050535,estimado
202211,2,299,19851358,estimado
202212,2,299,19851358,estimado
202301,2,308,20448890,estimado
202302,2,305,20249712,estimado
202303,2,311,20648068,estimado
202304,2,308,20448890,estimado
202305,2,302,20050535,estimado
202306,2,296,19652180,estimado
202307,2,296,19652180,estimado
202308,2,273,18125152,estimado
202309,2,261,17328442,estimado
202310,2,238,15801415,estimado
202311,2,193,12813752,estimado
202312,2,183,12149828,estimado
202401,2,188,12481790,estimado
202402,2,186,12349005,estimado
202403,2,201,13344892,estimado
202404,2,228,15137490,estimado
202405,2,242,16066985,estimado
202406,2,241,16000592,estimado
202407,2,256,16996480,estimado
202408,2,265,17594012,estimado
202409,2,274,18191545,estimado
202410,2,278,18457115,estimado
202411,2,276,18324330,estimado
202412,2,276,18324330,estimado
202501,2,284,18855470,estimado
202502,2,281,18656292,estimado
202503,2,287,19054648,estimado
202504,2,284,18855470,estimado
202505,2,278,18457115,estimado
202506,2,273,18125152,estimado
202507,2,273,18125152,estimado
202508,2,276,18324330,estimado
202509,2,276,18324330,estimado
