transitos,peaje_base_usd,cad_variable_pct,cad_por_transito_usd,ingreso_por_transito_usd,ingreso_mensual_usd,prima_subasta_usd,ingreso_mensual_con_subasta_usd,fuente_transitos,fuente_precio,fecha_id,esclusa_id
1158,90000,0.04047242153846154,13642.517938461539,103642.51793846153,120018035.77273846,0.0,120018035.77273846,estimado,estimado_ancla_publica,201410,1
1147,90000,0.04047242153846154,13642.517938461539,103642.51793846153,118877968.07541537,0.0,118877968.07541537,estimado,estimado_ancla_publica,201411,1
1147,90000,0.04047242153846154,13642.517938461539,103642.51793846153,118877968.07541537,0.0,118877968.07541537,estimado,estimado_ancla_publica,201412,1
1182,90000,0.04047242153846154,13642.517938461539,103642.51793846153,122505456.20326154,0.0,122505456.20326154,estimado,estimado_ancla_publica,201501,1
1170,90000,0.04047242153846154,13642.517938461539,103642.51793846153,121261745.98799999,0.0,121261745.98799999,estimado,estimado_ancla_publica,201502,1
1193,90000,0.04047242153846154,13642.517938461539,103642.51793846153,123645523.90058461,0.0,123645523.90058461,estimado,estimado_ancla_publica,201503,1
1181,90000,0.04069955661538458,13662.960095384613,103662.96009538461,122425955.87264922,0.0,122425955.87264922,estimado,estimado_ancla_publica,201504,1
1158,90000,0.04069955661538458,13662.960095384613,103662.96009538461,120041707.79045537,0.0,120041707.79045537,estimado,estimado_ancla_publica,201505,1
1135,90000,0.04069955661538458,13662.960095384613,103662.96009538461,117657459.70826153,0.0,117657459.70826153,estimado,estimado_ancla_publica,201506,1
1135,90000,0.04069955661538458,13662.960095384613,103662.96009538461,117657459.70826153,0.0,117657459.70826153,estimado,estimado_ancla_publica,201507,1
1147,90000,0.04069955661538458,13662.960095384613,103662.96009538461,118901415.22940615,0.0,118901415.22940615,estimado,estimado_ancla_publica,201508,1
1147,90000,0.04069955661538458,13662.960095384613,103662.96009538461,118901415.22940615,0.0,118901415.22940615,estimado,estimado_ancla_publica,201509,1
1092,90000,0.04069955661538458,13662.960095384613,103662.96009538461,113199952.42415999,0.0,113199952.42415999,estimado,estimado_ancla_publica,201510,1
1081,90000,0.04069955661538458,13662.960095384613,103662.96009538461,112059659.86311077,0.0,112059659.86311077,estimado,estimado_ancla_publica,201511,1
1081,90000,0.04069955661538458,13662.960095384613,103662.96009538461,112059659.86311077,0.0,112059659.86311077,estimado,estimado_ancla_publica,201512,1
1113,90000,0.04069955661538458,13662.960095384613,103662.96009538461,115376874.58616307,0.0,115376874.58616307,estimado,estimado_ancla_publica,201601,1
1102,90000,0.040926691692307705,13683.402252307693,103683.40225230769,114259109.28204307,0.0,114259109.28204307,estimado,estimado_ancla_publica,201602,1
1124,90000,0.040926691692307705,13683.402252307693,103683.40225230769,116540144.13159384,0.0,116540144.13159384,estimado,estimado_ancla_publica,201603,1
1113,90000,0.040926691692307705,13683.402252307693,103683.40225230769,115399626.70681846,0.0,115399626.70681846,estimado,estimado_ancla_publica,201604,1
1092,90000,0.040926691692307705,13683.402252307693,103683.40225230769,113222275.25952,0.0,113222275.25952,estimado,estimado_ancla_publica,201605,1
1070,90000,0.040926691692307705,13683.402252307693,103683.40225230769,110941240.40996923,0.0,110941240.40996923,estimado,estimado_ancla_publica,201606,1
1016,90000,0.040926691692307705,13683.402252307693,103683.40225230769,105342336.68834461,0.0,105342336.68834461,estimado,estimado_ancla_publica,201607,1
1027,90000,0.040926691692307705,13683.402252307693,103683.40225230769,106482854.11311999,0.0,106482854.11311999,estimado,estimado_ancla_publica,201608,1
1027,90000,0.040926691692307705,13683.402252307693,103683.40225230769,106482854.11311999,0.0,106482854.11311999,estimado,estimado_ancla_publica,201609,1
934,90000,0.040926691692307705,13683.402252307693,103683.40225230769,96840297.70365538,0.0,96840297.70365538,estimado,estimado_ancla_publica,201610,1
925,90000,0.040926691692307705,13683.402252307693,103683.40225230769,95907147.0833846,0.0,95907147.0833846,estimado,estimado_ancla_publica,201611,1
925,90000,0.04115382676923074,13703.844409230765,103703.84440923076,95926056.07853845,0.0,95926056.07853845,estimado,estimado_ancla_publica,201612,1
953,90000,0.04115382676923074,13703.844409230765,103703.84440923076,98829763.72199692,0.0,98829763.72199692,estimado,estimado_ancla_publica,201701,1
943,90000,0.04115382676923074,13703.844409230765,103703.84440923076,97792725.27790461,0.0,97792725.27790461,estimado,estimado_ancla_publica,201702,1
962,90000,0.04115382676923074,13703.844409230765,103703.84440923076,99763098.32168,0.0,99763098.32168,estimado,estimado_ancla_publica,201703,1
952,90000,0.04115382676923074,13703.844409230765,103703.84440923076,98726059.87758769,0.0,98726059.87758769,estimado,estimado_ancla_publica,201704,1
934,90000,0.04115382676923074,13703.844409230765,103703.84440923076,96859390.67822154,0.0,96859390.67822154,estimado,estimado_ancla_publica,201705,1
915,90000,0.04115382676923074,13703.844409230765,103703.84440923076,94889017.63444614,0.0,94889017.63444614,estimado,estimado_ancla_publica,201706,1
915,90000,0.04115382676923074,13703.844409230765,103703.84440923076,94889017.63444614,0.0,94889017.63444614,estimado,estimado_ancla_publica,201707,1
925,90000,0.04115382676923074,13703.844409230765,103703.84440923076,95926056.07853845,0.0,95926056.07853845,estimado,estimado_ancla_publica,201708,1
925,90000,0.04115382676923074,13703.844409230765,103703.84440923076,95926056.07853845,0.0,95926056.07853845,estimado,estimado_ancla_publica,201709,1
920,90000,0.04138096184615386,13724.286566153847,103724.28656615385,95426343.64086154,0.0,95426343.64086154,estimado,estimado_ancla_publica,201710,1
911,90000,0.04138096184615386,13724.286566153847,103724.28656615385,94492825.06176616,0.0,94492825.06176616,estimado,estimado_ancla_publica,201711,1
911,90000,0.04138096184615386,13724.286566153847,103724.28656615385,94492825.06176616,0.0,94492825.06176616,estimado,estimado_ancla_publica,201712,1
938,90000,0.04138096184615386,13724.286566153847,103724.28656615385,97293380.79905231,0.0,97293380.79905231,estimado,estimado_ancla_publica,201801,1
930,90000,0.04138096184615386,13724.286566153847,103724.28656615385,96463586.50652309,0.0,96463586.50652309,estimado,estimado_ancla_publica,201802,1
947,90000,0.04138096184615386,13724.286566153847,103724.28656615385,98226899.37814769,0.0,98226899.37814769,estimado,estimado_ancla_publica,201803,1
938,90000,0.04138096184615386,13724.286566153847,103724.28656615385,97293380.79905231,0.0,97293380.79905231,estimado,estimado_ancla_publica,201804,1
920,90000,0.04138096184615386,13724.286566153847,103724.28656615385,95426343.64086154,0.0,95426343.64086154,estimado,estimado_ancla_publica,201805,1
902,90000,0.04138096184615386,13724.286566153847,103724.28656615385,93559306.48267077,0.0,93559306.48267077,estimado,estimado_ancla_publica,201806,1
902,90000,0.04138096184615386,13724.286566153847,103724.28656615385,93559306.48267077,0.0,93559306.48267077,estimado,estimado_ancla_publica,201807,1
910,90000,0.041608096923077,13744.72872307693,103744.72872307693,94407703.13800001,0.0,94407703.13800001,estimado,estimado_ancla_publica,201808,1
